2026-03-10 11:45:11 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:45:16 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:45:20 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:45:27 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:45:36 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:45:41 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:45:44 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:45:48 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:45:51 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:45:55 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:45:58 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:02 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:05 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:09 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:12 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:16 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:19 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:23 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:26 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:30 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:46:33 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:46:37 | gaussian_attack | INFO | Gaussian attack complete: 102 frames attacked, 0 failed
2026-03-10 11:46:40 | gaussian_attack | INFO | Gaussian attack complete: 102 frames attacked, 0 failed
2026-03-10 11:46:43 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:46:47 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:46:50 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:54 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:46:57 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:01 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:04 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:08 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:11 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:47:15 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:47:18 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:47:21 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:47:24 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:47:28 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:47:31 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:35 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:38 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:41 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:47:45 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:47:48 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:47:52 | gaussian_attack | INFO | Gaussian attack complete: 147 frames attacked, 0 failed
2026-03-10 11:47:57 | gaussian_attack | INFO | Gaussian attack complete: 147 frames attacked, 0 failed
2026-03-10 11:48:02 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:48:08 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:48:14 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:48:19 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:48:25 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:48:30 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:48:35 | gaussian_attack | INFO | Gaussian attack complete: 145 frames attacked, 0 failed
2026-03-10 11:48:39 | gaussian_attack | INFO | Gaussian attack complete: 145 frames attacked, 0 failed
2026-03-10 11:48:45 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:48:50 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:48:56 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:01 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:07 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:12 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:16 | gaussian_attack | INFO | Gaussian attack complete: 102 frames attacked, 0 failed
2026-03-10 11:49:20 | gaussian_attack | INFO | Gaussian attack complete: 102 frames attacked, 0 failed
2026-03-10 11:49:24 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:30 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:35 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:41 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:49:46 | gaussian_attack | INFO | Gaussian attack complete: 160 frames attacked, 0 failed
2026-03-10 11:49:51 | gaussian_attack | INFO | Gaussian attack complete: 160 frames attacked, 0 failed
2026-03-10 11:49:57 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:50:02 | gaussian_attack | INFO | Gaussian attack complete: 181 frames attacked, 0 failed
2026-03-10 11:50:08 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:50:13 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:50:19 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:50:24 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:50:28 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:50:32 | gaussian_attack | INFO | Gaussian attack complete: 105 frames attacked, 0 failed
2026-03-10 11:50:35 | gaussian_attack | INFO | Gaussian attack complete: 125 frames attacked, 0 failed
2026-03-10 11:50:39 | gaussian_attack | INFO | Gaussian attack complete: 125 frames attacked, 0 failed
2026-03-10 11:50:44 | gaussian_attack | INFO | Gaussian attack complete: 131 frames attacked, 0 failed
2026-03-10 11:50:48 | gaussian_attack | INFO | Gaussian attack complete: 131 frames attacked, 0 failed
2026-03-10 11:50:53 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:50:59 | gaussian_attack | INFO | Gaussian attack complete: 182 frames attacked, 0 failed
2026-03-10 11:51:03 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:06 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:10 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:13 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:17 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:20 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:24 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:27 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:31 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:34 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:38 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:41 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:45 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:48 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:51:52 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:55 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:51:58 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:52:01 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:52:05 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:52:08 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:52:12 | gaussian_attack | INFO | Gaussian attack complete: 111 frames attacked, 0 failed
2026-03-10 11:52:15 | gaussian_attack | INFO | Gaussian attack complete: 111 frames attacked, 0 failed
2026-03-10 11:52:19 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:22 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:26 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:29 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:33 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:52:37 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:52:40 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:44 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:47 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:51 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:52:54 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:52:58 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:53:01 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:53:05 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:53:08 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:53:12 | gaussian_attack | INFO | Gaussian attack complete: 116 frames attacked, 0 failed
2026-03-10 11:53:16 | gaussian_attack | INFO | Gaussian attack complete: 121 frames attacked, 0 failed
2026-03-10 11:53:19 | gaussian_attack | INFO | Gaussian attack complete: 121 frames attacked, 0 failed
2026-03-10 11:53:21 | pipeline | INFO | ============================================================
2026-03-10 11:53:21 | pipeline | INFO | Pipeline complete for: GAUSSIAN
2026-03-10 11:53:21 | pipeline | INFO |   Successfully processed : 394
2026-03-10 11:53:21 | pipeline | INFO |   Failed                 : 0
2026-03-10 11:53:21 | pipeline | INFO |   End Time               : 2026-03-10 11:53:21
2026-03-10 11:53:21 | pipeline | INFO | ============================================================
2026-03-10 13:59:31 | pipeline | INFO | ============================================================
2026-03-10 13:59:31 | pipeline | INFO | DeepTrust — Statistical Attack Pipeline
2026-03-10 13:59:31 | pipeline | INFO | Attack Type : DCT
2026-03-10 13:59:31 | pipeline | INFO | Input Dir   : ./input
2026-03-10 13:59:31 | pipeline | INFO | Output Dir  : ./output/dct_manipulation
2026-03-10 13:59:31 | pipeline | INFO | Start Time  : 2026-03-10 13:59:31
2026-03-10 13:59:31 | pipeline | INFO | ============================================================
2026-03-10 13:59:31 | pipeline | INFO | Found 1576 video files in ./input
2026-03-10 13:59:31 | pipeline | INFO | Dataset Split enabled: processing chunk of 394 videos for dct
2026-03-10 13:59:31 | pipeline | INFO | Videos to process: 394
2026-03-10 13:59:38 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 13:59:44 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 13:59:46 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 13:59:52 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 13:59:56 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 13:59:58 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:00:04 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:00:09 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:00:10 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:00:16 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:00:21 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:00:23 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:00:29 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:00:33 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:00:35 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:00:41 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:00:45 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:00:47 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:00:53 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:00:57 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:00:59 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:01:05 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:01:09 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:01:11 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:01:17 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:01:22 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:01:24 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:01:30 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:01:34 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:01:36 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:01:42 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:01:46 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:01:48 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:01:54 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:01:59 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:02:00 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:02:06 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:02:11 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:02:12 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:02:18 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:02:23 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:02:25 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:02:31 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:02:35 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:02:37 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:02:43 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:02:48 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:02:50 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:02:55 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:03:00 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:03:01 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:03:07 | dct_attack | INFO | DCT: processed 50/121 frames
